Ticket,Fare,Embarked
330911,7.8292,Q
363272,7.0,S
240276,9.6875,Q
315154,8.6625,S
3101298,12.2875,S
7538,9.225,S
330972,7.6292,Q
248738,29.0,S
2657,7.2292,C
A/4 48871,24.15,S
349220,7.8958,S
694,26.0,S
21228,82.2667,S
24065,26.0,S
W.E.P. 5734,61.175,S
SC/PARIS 2167,27.7208,C
233734,12.35,Q
2692,7.225,C
STON/O2. 3101270,7.925,S
2696,7.225,C
PC 17603,59.4,C
C 17368,3.1708,S
PC 17598,31.6833,S
PC 17597,61.3792,C
PC 17608,262.375,C
A/5. 3337,14.5,S
113509,61.9792,C
2698,7.225,C
113054,30.5,S
2662,21.6792,C
SC/AH 3085,26.0,S
C.A. 31029,31.5,S
C.A. 2315,20.575,S
W./C. 6607,23.45,S
13236,57.75,C
2682,7.2292,C
342712,8.05,S
315087,8.6625,S
345768,9.5,S
1601,56.4958,S
349256,13.4167,C
113778,26.55,S
SOTON/O.Q. 3101263,7.85,S
237249,13.0,S
11753,52.5542,S
STON/O 2. 3101291,7.925,S
PC 17594,29.7,C
370374,7.75,Q
11813,76.2917,C
C.A. 37671,15.9,S
13695,60.0,S
SC/PARIS 2168,15.0333,C
29105,23.0,S
19950,263.0,S
SC/A.3 2861,15.5792,C
382652,29.125,Q
349230,7.8958,S
348122,7.65,S
386525,16.1,S
PC 17608,262.375,C
349232,7.8958,S
237216,13.5,S
347090,7.75,S
334914,7.725,Q
PC 17608,262.375,C
F.C.C. 13534,21.0,S
330963,7.8792,Q
113796,42.4,S
2543,28.5375,C
19950,263.0,S
382653,7.75,Q
349211,7.8958,S
3101297,7.925,S
PC 17562,27.7208,C
113503,211.5,C
113503,211.5,C
359306,8.05,S
11770,25.7,S
248744,13.0,S
368702,7.75,Q
2678,15.2458,C
PC 17483,221.7792,S
19924,26.0,S
349238,7.8958,S
240261,10.7083,Q
2660,14.4542,C
330844,7.8792,Q
A/4 31416,8.05,S
364856,7.75,Q
29103,23.0,S
347072,13.9,S
345498,7.775,S
F.C. 12750,52.0,S
376563,8.05,S
13905,26.0,C
350033,7.7958,S
19877,78.85,S
STON/O 2. 3101268,7.925,S
347471,7.8542,S
A./5. 3338,8.05,S
