,Ticket,Fare,Embarked
0,A/5 21171,7.25,S
1,PC 17599,71.2833,C
2,STON/O2. 3101282,7.925,S
3,113803,53.1,S
4,373450,8.05,S
5,330877,8.4583,Q
6,17463,51.8625,S
7,349909,21.075,S
8,347742,11.1333,S
9,237736,30.0708,C
10,PP 9549,16.7,S
11,113783,26.55,S
12,A/5. 2151,8.05,S
13,347082,31.275,S
14,350406,7.8542,S
15,248706,16.0,S
16,382652,29.125,Q
17,244373,13.0,S
18,345763,18.0,S
19,2649,7.225,C
20,239865,26.0,S
21,248698,13.0,S
22,330923,8.0292,Q
23,113788,35.5,S
24,349909,21.075,S
25,347077,31.3875,S
26,2631,7.225,C
27,19950,263.0,S
28,330959,7.8792,Q
29,349216,7.8958,S
30,PC 17601,27.7208,C
31,PC 17569,146.5208,C
32,335677,7.75,Q
33,C.A. 24579,10.5,S
34,PC 17604,82.1708,C
35,113789,52.0,S
36,2677,7.2292,C
37,A./5. 2152,8.05,S
38,345764,18.0,S
39,2651,11.2417,C
40,7546,9.475,S
41,11668,21.0,S
42,349253,7.8958,C
43,SC/Paris 2123,41.5792,C
44,330958,7.8792,Q
45,S.C./A.4. 23567,8.05,S
46,370371,15.5,Q
47,14311,7.75,Q
48,2662,21.6792,C
49,349237,17.8,S
50,3101295,39.6875,S
51,A/4. 39886,7.8,S
52,PC 17572,76.7292,C
53,2926,26.0,S
54,113509,61.9792,C
55,19947,35.5,S
56,C.A. 31026,10.5,S
57,2697,7.2292,C
58,C.A. 34651,27.75,S
59,CA 2144,46.9,S
60,2669,7.2292,C
61,113572,80.0,
62,36973,83.475,S
63,347088,27.9,S
64,PC 17605,27.7208,C
65,2661,15.2458,C
66,C.A. 29395,10.5,S
67,S.P. 3464,8.1583,S
68,3101281,7.925,S
69,315151,8.6625,S
70,C.A. 33111,10.5,S
71,CA 2144,46.9,S
72,S.O.C. 14879,73.5,S
73,2680,14.4542,C
74,1601,56.4958,S
75,348123,7.65,S
76,349208,7.8958,S
77,374746,8.05,S
78,248738,29.0,S
79,364516,12.475,S
80,345767,9.0,S
81,345779,9.5,S
82,330932,7.7875,Q
83,113059,47.1,S
84,SO/C 14885,10.5,S
85,3101278,15.85,S
86,W./C. 6608,34.375,S
87,SOTON/OQ 392086,8.05,S
88,19950,263.0,S
89,343275,8.05,S
90,343276,8.05,S
91,347466,7.8542,S
92,W.E.P. 5734,61.175,S
93,C.A. 2315,20.575,S
94,364500,7.25,S
95,374910,8.05,S
96,PC 17754,34.6542,C
97,PC 17759,63.3583,C
98,231919,23.0,S
99,244367,26.0,S
